status|title|company|location|date|blurb|tags|link|id|provider|query
new|Site Reliability Engineer (SRE)|Apple|Austin, TX|2020-07-15|||||indeed|Python
new|Linux Python Software Tools and Automation Engineer Sunnyvale and Austin|OSI Engineering|austin, TX|2020-08-13|Linux Python Software Tools and Automation EngineerDevelop Python Tool Applications for Automation to process consumer electronic devices.Qualifications:Experience building tools and applications in Python3, including using frameworks like DjangoAbility to write Plug-ins for triage issuesKnowledge of standalone web applications using tools such as NodeJS/TypescriptExperience working with software development tools such as git, code review, and CI/CD systems is highly desired.Must have efficiency of manufacturing processExcellent written and verbal skillsPlease submit resume to jobs@OSIengineering.comType: ContractDuration: 6 MonthsLocation: Cupertino OR AustinTony Do408.550.2800 x115OSIJOBS||https://job-openings.monster.com/linux-python-software-tools-automation-engineer-sunnyvale-austin-austin-tx-us-osi-engineering/219505928|219505928|monster|Python
new|Senior Python Developer REMOTE - Python, Java|CyberCoders|Austin, TX|2020-08-10|If you are a Senior Python Developer with experience, please read on!THIS JOB IS 100% REMOTE Based in sunny Austin Texas, we are a top of the line security company. Out focus is helping people protect their data and their freedom so that they do not have to worry. We believe that having people understand and teaching them about their security awareness is key. We are looking for a Remote Senior Python Developer to join our fun company.Top Reasons to Work with Us- Core Values: Empowerment, Integrity, Innovation, Respect, and Giving Back - Excellent Mentorship Program - Company Ownership- Remote Working LocationsWhat You Will Be Doing- Build, prototype, and test biomedical code using best practices- Assist in the build of their new development infrastructure and the development of algorithms for genetic data- Participate and contribute to the on the front end and backend of internal and client-facing software tools- Collaborate with scientific and research team members to ensure scientific specifications are metRequirementsWhat You Need for this Position- Python- Java- ElasticSearchGOOD TO HAVE - Rest- AWSWhat's In It for You- Competitive Compensation: (100-140K DOE)- Vacation/PTO - Unlimited - Medical- Dental- Vision- 401kSo, if you are a Senior Python Developer with experience, please apply today!||https://job-openings.monster.com/senior-python-developer-remote-python-java-austin-tx-us-cybercoders/219514303|219514303|monster|Python
new|Python Software Developer - Austin - $180,000 + Bonus|Oscar Associates Limited (US)|Austin, TX|2020-08-06|Python Software Developer - Austin - $160,000 - $180,000 + BonusA company working with Computer Vision and AI to build industry leading products, who are established across Asia and Europe, is looking to build a brand-new team in the Austin to build their products and bring them to the US market. This will be a great opportunity to work on some greenfield products with the latest technologies in facial recognition AI. If this sounds interesting to you, please apply below!THE COMPANY:The company has spent the last 2 years building top-quality facial recognition software that it being implementing in cameras all over the world. Their latest product is using a combination of facial recognition technology and thermo technology to detect the temperature of a person before entering buildings, This is already being implemented in schools in China to protect against COVID-19.THE ROLE:Your role working as a Python Software Developer will involve:Developing high quality, testable and performant softwareApplying TDD and BDD approached to your workBuilding large scale service-oriented systemsOptimising software performanceRestful API design and developmentWorking in a real-time environmentSupport and maintain the applicationsCollaborating with the other team membersYOUR SKILLS & EXPERIENCE:What your role as a Python Software Developer will require:Degree in Computer Science or similarExtensive Python Software Engineering experienceBackend expertise and experience architecting scalable applicationsKnowledge of data structures and algorithmsExperience with AWS cloud technologies with Docker and KubernetesStrong verbal and communication skillsAbility to work in a high-performance development teamPython Software Developer - Austin - $160,000 - $180,000 + BonusOscar Associates Limited (US) is acting as an Employment Agency in relation to this vacancy.||https://job-openings.monster.com/python-software-developer-austin-180-000-bonus-austin-tx-us-oscar-associates-limited-us/219355824|219355824|monster|Python
new|Senior Python/Django Engineer|Jobot|Austin, TX|2020-07-31|"Hot Startup Still Rapidly Growing - 100% Remote/WFHThis Jobot Job is hosted by: Dee NguyenAre you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.A bit about us:We are building systems to track traffic in buildings and spaces. If you're an experienced python/django with AWS experience, please submit your resume for further consideration.Why join us?Huge Room for Growth Great Pay and Benefits Work/life Balance Remote OptionJob Details5+ years of highly scalable enterprise systems experiencePython/DjangoAPIAWSArchitected complex data pipelinesnice to have:React/reduxES6Interested in hearing more? Easy Apply now by clicking the ""Apply Now"" button."||https://job-openings.monster.com/senior-python-django-engineer-austin-tx-us-jobot/219238243|219238243|monster|Python
new|Sr Backend Engineer - Java, Ruby, Python, GoLang|New Iron|AUSTIN, TX|2020-08-14|Sr Backend Engineer - Java, Ruby, Python, GoLangNew Iron is leading the search for a Sr Backend Engineer to join a dynamic rapidly growing startup in Austin,TX.This is a challenging direct-hire role to build and ensure server-side performance of large-scale applications.You will join a team focused on backend platform development. Though not required, priority will be given to candidates with experience in GoLang, and candidates with a strong desire to learn GoLang.We are looking for engineers who are excited about backend features, ownership of the design and implementation of core services, and learning tools needed for how it runs and scales in production.If you are focused on the craftsmanship, continuous improvement, and team success, we'd love to speak with you!Responsibilities:Design, implement, test and deploy software servicesRaise the bar on code quality, reusability and maintainabilityEnsure responsiveness, scalability and maintainability of platformLeverage the latest in container based software distribution, microservicesDeliver highly scalable and performant data pipelinesLeverage serverless and containerized compute to balance cost, latency, and durationBuild and extend CI/CD pipelines for automated testing and continuous production releasesFind and solve response time and throughput performance issuesRefactor for optimal performance and scalabilityFoster a test-driven culture and share best practicesWork closely with team members and stakeholdersRequired Skills:3+ years of experience in software developmentExperience with server side programming languages such as Java, Ruby, Python, etc.Experience with server side MVC frameworks such as Spring, Rails, .NET etc.Experience with database languages esp. SQLStrong understanding of OOP and design & architectural patternsExcellent communication, collaboration, and time-management skillsThe following is a strong plus:GoLang programming languageExperience building scalable microservices or serverless APIsExperience performance tuning microservices and/or data pipelinesCloud base security experienceExperience with open source web frameworks esp. DjangoExperience in DevOps open source tools such as Docker, Terraform, etc.Experience with AWS cloud servicesExperience with Software services for Billing/InvoiceBS degree in Computer Science or relatedThis is a direct-hire role for a client based in Austin, TX. Principals only. Recruiters please do not contact this job poster.||https://job-openings.monster.com/sr-backend-engineer-java-ruby-python-golang-austin-tx-us-new-iron/219525642|219525642|monster|Python
new|DevOps Engineer (Can be Remote) - Python, AWS, Devops|CyberCoders|Austin, TX|2020-08-10|If you are a DevOps Engineer (Can be Remote) with experience, please read on!Based in sunny Austin Texas, we are a top of the line security company. Out focus is helping people protect their data and their freedom so that they do not have to worry. We believe that having people understand and teaching them about their security awareness is key. We are looking for a DevOps to join our fun company.Top Reasons to Work with Us- Core Values: Empowerment, Integrity, Innovation, Respect, and Giving Back - Excellent Mentorship Program - Company Ownership- Remote Working LocationsWhat You Will Be Doing- Lead mission-critical technology projects to improve the product and processes- Collaborate with engineering teams to streamline the provisioning and automation of multiple deployment environments- Support engineering teams in enhancing cloud capabilities within the product- Monitor and maintain mission-critical components across our Hybrid SaaS offerings.- Drive automation following infrastructure as code model and using SDLC best practices- Work with security team to design and implement practices for securely managing and deploying Brainsharks technology stack- Respond to and resolve critical customer issues as part of the on-call rotationWhat You Need for this Position- Python- AWS- Devops- SQLWhat's In It for You- Vacation/PTO - Unlimited - Medical- Dental- Vision- 401kSo, if you are a DevOps Engineer (Can be Remote) with experience, please apply today!||https://job-openings.monster.com/devops-engineer-can-be-remote-python-aws-devops-austin-tx-us-cybercoders/219514299|219514299|monster|Python
new|Senior Python Developer - Austin - $150,000 + Bonus|Oscar Associates Limited (US)|Austin, TX|2020-08-07|Senior Python Developer - Austin - $150,000 + BonusA highly prestigious finance company in the heart of downtown Austin is looking to add a new member into their Software Team. This team is responsible for designing and building highly reliable, and testable Python Systems to ensure trading can take place. They are looking for a Senior Python Developer who is comfortable coding Python, testing their code and developing on Linux-based systems. If this sounds like you, then apply below!THE COMPANY:The company is well-established with 1,500 employees distributed across several geographical locations. They are a platform on which clients can trade products and services. They also build high performance software product to facilitate trading. They are the global leaders in their domain.THE ROLE:You will join a Software Engineering team of 7, and your responsibilities will include:Designing and building highly reliable and testable Python systemsIntroducing innovative ideas alongside the business and sales to develop new productsFollowing agile software development techniquesContribute to R&D projectsIdentify and voice new technologiesParticipate in the global software engineering teamYOUR SKILLS & EXPERIENCE:What your role as a Senior Python Developer will require:Demonstratable commercial experience building software in PythonStrong advocate of TDD, BDD and other testing methodsFamiliarity with SQLStrong Linux knowledgeDegree or equivalent in Computer ScienceExperience working within a financial domain is preferred but not necessaryStrong communicator and team player THE BENEFITS:Additional benefits include benefits:Medial insuranceBonus21 days holidayCasual dress codeFree lunchRetirement plan with matching contributionsGroup health planGym membershipIf you are interested or would like some more information, please send your latest CV to antoni.davis-phillip@oscar-tech.comApply Now!!Senior Python Developer - Austin - $150,000 + BonusOscar Associates Limited (US) is acting as an Employment Agency in relation to this vacancy.||https://job-openings.monster.com/senior-python-developer-austin-150-000-bonus-austin-tx-us-oscar-associates-limited-us/219117423|219117423|monster|Python
new|Python Developer|Jobot|Remote, TX|2020-08-04|"100% Remote Senior Python Developers Needed @ Fast-growing SaaS Tech StartupThis Jobot Job is hosted by: Luke SwiftAre you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.Salary: $100,000 - $130,000A bit about us:Our powerful SaaS platform connects customers to real estate agents and help them save money in the process (sellers get a discount on commission, buyers get a rebate on their home purchase).We are now seeking several REMOTE Software Engineers (Mid/Senior level) with a background developing customer-facing SaaS and web-based applications experience, primarily with Python and Django.  In this role, you'll do a lot of paired-programming with several members of our team the first few months in order to familiarize you with our existing systems and to build relationships with the rest of the Engineering team.  You either should enjoy it or at least be willing to do paired-programming, otherwise this isn't the right opportunity for you.   They should be well-versed with server-side technologies such as RESTful APIs, Amazon Web Services, CI/CD tools, and databases (PostgreSQL/NoSQL).  Any experience with JavaScript and React.js is highly desired, but not required as we will ramp you up on them and any of the other technologies we use in no time.  Lastly, this is a great time to get in on ground floor working alongside the Founders, CTO, and a key hire in shaping the way the organization's future goes. If this sounds like you, please apply now!Why join us? Marquee Product! WORK FROM HOME! Accelerated Career Growth!Job DetailsDay to Day: Develop, maintain, and enhance our powerful SaaS platform Take ownership by creating your own technical specs because as a small team, you are given personal ownership of the planning processes. Collaborate a lot with each other and with product stakeholders.  Participate in the spec processes for new features and epics on our roadmap, and you'll help others resolve issues when they have questions about certain parts of the codebase that you've gained familiarity with.  Establish strong working relationships with individuals inside and outside of Engineering, and you'll have a clear understanding of both our customer journey and the workflows of our internal stakeholders.  Tackle small bugs and features while performing root-cause analysis for bugs independently, escalating to other teammates when you need a second set of eyes.  Use the business context you've picked up to discuss the priority of features and bugs in the backlog.  Advocate a new trend or tool that will help us perform root-cause analysis more easily when issues come up.Requirements: 4+ years of Software Development experience At least 2 years of development experience on a consumer-facing SaaS or web-based application products Experience and/or willingness to participate in paired-programming (No Exceptions) Advanced with Python programming  Experience with Django or similar python web framework (Flask) Experience with RESTful API design & development Experience with RDBMs (PostgreSQL) and NoSQL databases Experience working within an Amazon Web Services (AWS) environment Familiar with CI/CD and DevOps tools and best practices is highly desiredNice to have skills:, but not required:  Proficient with web technologies such as JavaScript, HTML, CSS Experience with ReactJS is highly desiredInterested in hearing more? Easy Apply now by clicking the ""Apply Now"" button."||https://job-openings.monster.com/python-developer-remote-tx-us-jobot/219315823|219315823|monster|Python
new|Senior Full-Stack Engineer - Python, Java, REACT|CyberCoders|Austin, TX|2020-08-05|If you are a Senior Full-Stack Engineer with experience in both front-end and back-end technologies, as well as with Linux, please read on!Located in Austin, Texas, we specialize in providing our customized digital innovation platform to all of our clients within the finance space. We have been in business for over 5 years and are continuing to grow and expand our business at a very rapid pace! We were named one of the fastest growing companies for the 3rd year in a row, and are continuing to shine! We are looking for a skilled Senior Software Engineer, who is going to be strong with both front-end and back-end technologies, as well as a heavy background in Linux. We aren't married to specific technologies, but use Python on the back-end, and JavaScript, HTML, CSS, Angular/React on the front-end. Someone with this type of experience would be a PLUS but we are open. Your experience with Linux is a MUST as we are a Linux shop and want someone who can hit the ground running! We work collaboratively in a team environment here so someone with this mentality will love it here.What You Will Be Doing-Working with both front-end and back-end technologies-Utilizing Linux-Collaboratively working in a team environmentWhat You Need for this Position- Python/Java/C++- React/Node/Vue/Angular- - LinuxSo, if you are a Senior Full-Stack Engineer with experience in both front-end and back-end technologies, as well as with Linux, please apply today!||https://job-openings.monster.com/senior-full-stack-engineer-python-java-react-austin-tx-us-cybercoders/219414185|219414185|monster|Python
